truth,predicted,count
f,f,7903
fd,f,19
fs,f,2
i,f,0
s,f,80
sa,f,53
sag,f,0
ss,f,1
st,f,0
ts,f,3
f,fd,4
fd,fd,77
fs,fd,0
i,fd,0
s,fd,0
sa,fd,0
sag,fd,0
ss,fd,1
st,fd,0
ts,fd,0
f,fs,1
fd,fs,0
fs,fs,44
i,fs,0
s,fs,0
sa,fs,0
sag,fs,0
ss,fs,0
st,fs,0
ts,fs,0
f,i,0
fd,i,0
fs,i,0
i,i,16
s,i,0
sa,i,0
sag,i,0
ss,i,0
st,i,0
ts,i,0
f,s,24
fd,s,4
fs,s,2
i,s,14
s,s,7038
sa,s,263
sag,s,2
ss,s,7
st,s,12
ts,s,0
f,sa,8
fd,sa,1
fs,sa,0
i,sa,6
s,sa,219
sa,sa,13033
sag,sa,1
ss,sa,14
st,sa,7
ts,sa,0
f,sag,0
fd,sag,0
fs,sag,0
i,sag,0
s,sag,0
sa,sag,0
sag,sag,792
ss,sag,10
st,sag,0
ts,sag,0
f,ss,0
fd,ss,0
fs,ss,0
i,ss,0
s,ss,0
sa,ss,0
sag,ss,0
ss,ss,647
st,ss,0
ts,ss,0
f,st,0
fd,st,0
fs,st,0
i,st,0
s,st,0
sa,st,0
sag,st,0
ss,st,0
st,st,387
ts,st,0
f,ts,0
fd,ts,0
fs,ts,0
i,ts,0
s,ts,0
sa,ts,0
sag,ts,0
ss,ts,0
st,ts,0
ts,ts,3
