truth,predicted,count
f,f,7847
fd,f,21
fs,f,12
i,f,0
s,f,126
sa,f,71
sag,f,0
ss,f,0
st,f,2
ts,f,5
f,fd,2
fd,fd,61
fs,fd,0
i,fd,0
s,fd,0
sa,fd,0
sag,fd,0
ss,fd,0
st,fd,0
ts,fd,0
f,fs,0
fd,fs,0
fs,fs,30
i,fs,0
s,fs,0
sa,fs,0
sag,fs,0
ss,fs,0
st,fs,0
ts,fs,0
f,i,0
fd,i,0
fs,i,0
i,i,32
s,i,1
sa,i,1
sag,i,0
ss,i,0
st,i,0
ts,i,0
f,s,53
fd,s,11
fs,s,5
i,s,4
s,s,6851
sa,s,413
sag,s,3
ss,s,21
st,s,14
ts,s,0
f,sa,38
fd,sa,7
fs,sa,0
i,sa,0
s,sa,352
sa,sa,12850
sag,sa,0
ss,sa,18
st,sa,2
ts,sa,1
f,sag,0
fd,sag,0
fs,sag,0
i,sag,0
s,sag,4
sa,sag,10
sag,sag,791
ss,sag,8
st,sag,0
ts,sag,0
f,ss,0
fd,ss,1
fs,ss,1
i,ss,0
s,ss,3
sa,ss,1
sag,ss,1
ss,ss,633
st,ss,0
ts,ss,0
f,st,0
fd,st,0
fs,st,0
i,st,0
s,st,0
sa,st,3
sag,st,0
ss,st,0
st,st,388
ts,st,0
