truth,predicted,count
Alabama Court of Appeals,Alabama Court of Appeals,2
Alaska Supreme Court,Alabama Court of Appeals,0
Appellate Court of Illinois,Alabama Court of Appeals,24
Appellate Division of the Supreme Court of the State of New York,Alabama Court of Appeals,1
Arizona Supreme Court,Alabama Court of Appeals,1
Arkansas Attorney General Reports,Alabama Court of Appeals,0
Board of Veterans' Appeals,Alabama Court of Appeals,0
California Court of Appeal,Alabama Court of Appeals,0
California Supreme Court,Alabama Court of Appeals,0
Colorado Attorney General Reports,Alabama Court of Appeals,0
Colorado Court of Appeals,Alabama Court of Appeals,1
Commonwealth Court of Pennsylvania,Alabama Court of Appeals,0
Connecticut Appellate Court,Alabama Court of Appeals,0
Connecticut Superior Court,Alabama Court of Appeals,8
Court for the Trial of Impeachments and Correction of Errors,Alabama Court of Appeals,2
Court of Appeals for the D.C. Circuit,Alabama Court of Appeals,0
Court of Appeals for the Eighth Circuit,Alabama Court of Appeals,0
Court of Appeals for the Eleventh Circuit,Alabama Court of Appeals,0
Court of Appeals for the Federal Circuit,Alabama Court of Appeals,0
Court of Appeals for the Fifth Circuit,Alabama Court of Appeals,1
Court of Appeals for the First Circuit,Alabama Court of Appeals,0
Court of Appeals for the Fourth Circuit,Alabama Court of Appeals,0
Court of Appeals for the Ninth Circuit,Alabama Court of Appeals,0
Court of Appeals for the Second Circuit,Alabama Court of Appeals,3
Court of Appeals for the Seventh Circuit,Alabama Court of Appeals,0
Court of Appeals for the Sixth Circuit,Alabama Court of Appeals,0
Court of Appeals for the Tenth Circuit,Alabama Court of Appeals,0
Court of Appeals for the Third Circuit,Alabama Court of Appeals,1
Court of Appeals of Arkansas,Alabama Court of Appeals,0
Court of Appeals of Georgia,Alabama Court of Appeals,0
Court of Appeals of Iowa,Alabama Court of Appeals,0
Court of Appeals of Kansas,Alabama Court of Appeals,0
Court of Appeals of Kentucky (pre-1976),Alabama Court of Appeals,0
Court of Appeals of Maryland,Alabama Court of Appeals,1
Court of Appeals of Minnesota,Alabama Court of Appeals,0
Court of Appeals of Mississippi,Alabama Court of Appeals,0
Court of Appeals of North Carolina,Alabama Court of Appeals,12
Court of Appeals of Oregon,Alabama Court of Appeals,4
Court of Appeals of South Carolina,Alabama Court of Appeals,0
Court of Appeals of Texas,Alabama Court of Appeals,1
Court of Appeals of Washington,Alabama Court of Appeals,0
Court of Appeals of Wisconsin,Alabama Court of Appeals,0
Court of Chancery of Delaware,Alabama Court of Appeals,1
Court of Civil Appeals of Alabama,Alabama Court of Appeals,2
Court of Claims of Illinois,Alabama Court of Appeals,5
Court of Criminal Appeals of Alabama,Alabama Court of Appeals,5
Court of Criminal Appeals of Oklahoma,Alabama Court of Appeals,0
Court of Criminal Appeals of Texas,Alabama Court of Appeals,0
Court of Customs and Patent Appeals,Alabama Court of Appeals,0
Court of King's Bench,Alabama Court of Appeals,1
District Court of Appeal of Florida,Alabama Court of Appeals,1
"District Court, C.D. California",Alabama Court of Appeals,0
"District Court, D. Alaska",Alabama Court of Appeals,0
"District Court, D. Arizona",Alabama Court of Appeals,0
"District Court, D. Massachusetts",Alabama Court of Appeals,0
"District Court, D. New Hampshire",Alabama Court of Appeals,0
"District Court, D. New Jersey",Alabama Court of Appeals,0
"District Court, D. South Carolina",Alabama Court of Appeals,0
"District Court, District of Columbia",Alabama Court of Appeals,0
"District Court, E.D. California",Alabama Court of Appeals,0
"District Court, E.D. New York",Alabama Court of Appeals,0
"District Court, E.D. Pennsylvania",Alabama Court of Appeals,0
"District Court, M.D. Florida",Alabama Court of Appeals,0
"District Court, N.D. California",Alabama Court of Appeals,0
"District Court, N.D. Illinois",Alabama Court of Appeals,0
"District Court, N.D. Indiana",Alabama Court of Appeals,0
"District Court, S.D. Florida",Alabama Court of Appeals,0
"District Court, S.D. Illinois",Alabama Court of Appeals,0
"District Court, S.D. New York",Alabama Court of Appeals,0
"District Court, W.D. Michigan",Alabama Court of Appeals,0
District of Columbia Court of Appeals,Alabama Court of Appeals,0
Florida Attorney General Reports,Alabama Court of Appeals,0
Florida Fifth District Court of Appeal,Alabama Court of Appeals,0
Florida First District Court of Appeal,Alabama Court of Appeals,0
Florida Fourth District Court of Appeal,Alabama Court of Appeals,0
Florida Second District Court of Appeal,Alabama Court of Appeals,0
Florida Third District Court of Appeal,Alabama Court of Appeals,0
Hawaii Intermediate Court of Appeals,Alabama Court of Appeals,2
Hawaii Supreme Court,Alabama Court of Appeals,0
Idaho Court of Appeals,Alabama Court of Appeals,0
Idaho Supreme Court,Alabama Court of Appeals,0
Illinois Supreme Court,Alabama Court of Appeals,4
Indiana Court of Appeals,Alabama Court of Appeals,0
Indiana Supreme Court,Alabama Court of Appeals,0
Louisiana Attorney General Reports,Alabama Court of Appeals,3
Louisiana Court of Appeal,Alabama Court of Appeals,1
Massachusetts Appeals Court,Alabama Court of Appeals,1
Massachusetts Supreme Judicial Court,Alabama Court of Appeals,1
Michigan Supreme Court,Alabama Court of Appeals,1
Mississippi Supreme Court,Alabama Court of Appeals,5
Missouri Attorney General Reports,Alabama Court of Appeals,1
Missouri Court of Appeals,Alabama Court of Appeals,0
Montana Supreme Court,Alabama Court of Appeals,1
Nebraska Attorney General Reports,Alabama Court of Appeals,1
Nebraska Court of Appeals,Alabama Court of Appeals,0
Nevada Supreme Court,Alabama Court of Appeals,4
New Jersey Court of Chancery,Alabama Court of Appeals,0
New Jersey Superior Court Appellate Division,Alabama Court of Appeals,0
New Jersey Tax Court,Alabama Court of Appeals,0
New Mexico Supreme Court,Alabama Court of Appeals,0
New York Attorney General Reports,Alabama Court of Appeals,0
New York Court of Appeals,Alabama Court of Appeals,2
New York Supreme Court,Alabama Court of Appeals,0
New York Surrogate's Court,Alabama Court of Appeals,0
North Carolina Industrial Commission,Alabama Court of Appeals,0
North Dakota Supreme Court,Alabama Court of Appeals,0
Ohio Court of Appeals,Alabama Court of Appeals,3
Ohio Supreme Court,Alabama Court of Appeals,4
