truth,predicted,count
f,f,904
fd,f,15
fs,f,3
i,f,5
s,f,835
sa,f,1430
sag,f,112
ss,f,69
st,f,40
ts,f,0
f,fd,821
fd,fd,11
fs,fd,7
i,fd,4
s,fd,731
sa,fd,1340
sag,fd,89
ss,fd,76
st,fd,36
ts,fd,2
f,fs,814
fd,fs,8
fs,fs,7
i,fs,0
s,fs,755
sa,fs,1356
sag,fs,84
ss,fs,66
st,fs,40
ts,fs,0
f,i,738
fd,i,9
fs,i,5
i,i,3
s,i,709
sa,i,1281
sag,i,69
ss,i,79
st,i,47
ts,i,0
f,s,753
fd,s,11
fs,s,1
i,s,4
s,s,733
sa,s,1230
sag,s,58
ss,s,79
st,s,42
ts,s,0
f,sa,736
fd,sa,12
fs,sa,8
i,sa,2
s,sa,677
sa,sa,1298
sag,sa,81
ss,sa,48
st,sa,38
ts,sa,1
f,sag,788
fd,sag,9
fs,sag,3
i,sag,3
s,sag,706
sa,sag,1251
sag,sag,75
ss,sag,56
st,sag,35
ts,sag,1
f,ss,769
fd,ss,6
fs,ss,0
i,ss,6
s,ss,677
sa,ss,1370
sag,ss,81
ss,ss,63
st,ss,43
ts,ss,1
f,st,768
fd,st,10
fs,st,11
i,st,5
s,st,708
sa,st,1328
sag,st,67
ss,st,80
st,st,43
ts,st,0
f,ts,849
fd,ts,10
fs,ts,3
i,ts,4
s,ts,806
sa,ts,1465
sag,ts,79
ss,ts,64
st,ts,42
ts,ts,1
