class,support,tp,fp,fn,precision,recall,f1
Alabama Court of Appeals,356,333,17,23,0.951428571428571,0.935393258426966,0.943342776203966
Alaska Supreme Court,6,2,0,4,1,0.333333333333333,0.5
Appellate Court of Illinois,4103,4087,16,16,0.996100414330977,0.996100414330977,0.996100414330977
Appellate Division of the Supreme Court of the State of New York,46,34,27,12,0.557377049180328,0.739130434782609,0.635514018691589
Arizona Supreme Court,13,8,1,5,0.888888888888889,0.615384615384615,0.727272727272727
Arkansas Attorney General Reports,110,107,1,3,0.990740740740741,0.972727272727273,0.981651376146789
Board of Veterans' Appeals,29,28,0,1,1,0.96551724137931,0.982456140350877
California Court of Appeal,56,42,12,14,0.777777777777778,0.75,0.763636363636364
California Supreme Court,74,57,24,17,0.703703703703704,0.77027027027027,0.735483870967742
Colorado Attorney General Reports,4,1,0,3,1,0.25,0.4
Colorado Court of Appeals,8,7,0,1,1,0.875,0.933333333333333
Commonwealth Court of Pennsylvania,28,2,0,26,1,0.0714285714285714,0.133333333333333
Connecticut Appellate Court,6,6,0,0,1,1,1
Connecticut Superior Court,1154,1143,11,11,0.990467937608319,0.990467937608319,0.990467937608319
Court for the Trial of Impeachments and Correction of Errors,105,98,0,7,1,0.933333333333333,0.96551724137931
Court of Appeals for the D.C. Circuit,9,1,0,8,1,0.111111111111111,0.2
Court of Appeals for the Eighth Circuit,41,22,10,19,0.6875,0.536585365853659,0.602739726027397
Court of Appeals for the Eleventh Circuit,27,5,2,22,0.714285714285714,0.185185185185185,0.294117647058823
Court of Appeals for the Federal Circuit,56,32,25,24,0.56140350877193,0.571428571428571,0.566371681415929
Court of Appeals for the Fifth Circuit,166,161,147,5,0.522727272727273,0.969879518072289,0.679324894514768
Court of Appeals for the First Circuit,40,20,2,20,0.909090909090909,0.5,0.645161290322581
Court of Appeals for the Fourth Circuit,79,37,70,42,0.345794392523364,0.468354430379747,0.397849462365591
Court of Appeals for the Ninth Circuit,119,62,37,57,0.626262626262626,0.521008403361345,0.568807339449541
