class,support,tp,fp,fn,precision,recall,f1
Alabama Court of Appeals,356,338,19,18,0.946778711484594,0.949438202247191,0.948106591865358
Alaska Supreme Court,6,3,0,3,1,0.5,0.666666666666667
Appellate Court of Illinois,4103,4088,21,15,0.99488926746167,0.996344138435291,0.995616171456405
Appellate Division of the Supreme Court of the State of New York,46,34,31,12,0.523076923076923,0.739130434782609,0.612612612612613
Arizona Supreme Court,13,8,2,5,0.8,0.615384615384615,0.695652173913044
Arkansas Attorney General Reports,110,105,2,5,0.981308411214953,0.954545454545455,0.967741935483871
Board of Veterans' Appeals,29,28,0,1,1,0.96551724137931,0.982456140350877
California Court of Appeal,56,49,15,7,0.765625,0.875,0.816666666666667
California Supreme Court,74,52,9,22,0.852459016393443,0.702702702702703,0.77037037037037
Colorado Attorney General Reports,4,0,0,4,0,0,0
Colorado Court of Appeals,8,7,0,1,1,0.875,0.933333333333333
Commonwealth Court of Pennsylvania,28,2,0,26,1,0.0714285714285714,0.133333333333333
Connecticut Appellate Court,6,6,0,0,1,1,1
Connecticut Superior Court,1154,1145,15,9,0.987068965517241,0.992201039861352,0.989628349178911
Court for the Trial of Impeachments and Correction of Errors,105,102,1,3,0.990291262135922,0.971428571428571,0.980769230769231
Court of Appeals for the D.C. Circuit,9,0,0,9,0,0,0
Court of Appeals for the Eighth Circuit,41,20,9,21,0.689655172413793,0.487804878048781,0.571428571428571
Court of Appeals for the Eleventh Circuit,27,5,0,22,1,0.185185185185185,0.3125
Court of Appeals for the Federal Circuit,56,27,34,29,0.442622950819672,0.482142857142857,0.461538461538462
Court of Appeals for the Fifth Circuit,166,161,162,5,0.498452012383901,0.969879518072289,0.658486707566462
Court of Appeals for the First Circuit,40,20,0,20,1,0.5,0.666666666666667
Court of Appeals for the Fourth Circuit,79,35,67,44,0.343137254901961,0.443037974683544,0.386740331491713
Court of Appeals for the Ninth Circuit,119,58,40,61,0.591836734693878,0.487394957983193,0.534562211981567
Court of Appeals for the Second Circuit,126,99,107,27,0.480582524271845,0.785714285714286,0.596385542168675
Court of Appeals for the Seventh Circuit,44,8,8,36,0.5,0.181818181818182,0.266666666666667
Court of Appeals for the Sixth Circuit,26,0,0,26,0,0,0
Court of Appeals for the Tenth Circuit,44,7,4,37,0.636363636363636,0.159090909090909,0.254545454545455
Court of Appeals for the Third Circuit,44,15,5,29,0.75,0.340909090909091,0.46875
Court of Appeals of Arkansas,3,2,0,1,1,0.666666666666667,0.8
Court of Appeals of Georgia,38,25,2,13,0.925925925925926,0.657894736842105,0.769230769230769
Court of Appeals of Iowa,9,6,0,3,1,0.666666666666667,0.8
Court of Appeals of Kansas,270,237,8,33,0.96734693877551,0.877777777777778,0.920388349514563
Court of Appeals of Kentucky (pre-1976),58,53,1,5,0.981481481481481,0.913793103448276,0.946428571428571
Court of Appeals of Maryland,359,349,13,10,0.964088397790055,0.972144846796657,0.968099861303745
Court of Appeals of Minnesota,9,7,1,2,0.875,0.777777777777778,0.823529411764706
Court of Appeals of Mississippi,28,27,0,1,1,0.964285714285714,0.981818181818182
Court of Appeals of North Carolina,1257,1205,35,52,0.971774193548387,0.958631662688942,0.965158189827793
Court of Appeals of Oregon,323,315,0,8,1,0.975232198142415,0.987460815047022
Court of Appeals of South Carolina,5,3,0,2,1,0.6,0.75
Court of Appeals of Texas,39,13,7,26,0.65,0.333333333333333,0.440677966101695
Court of Appeals of Washington,45,41,10,4,0.803921568627451,0.911111111111111,0.854166666666667
Court of Appeals of Wisconsin,103,101,9,2,0.918181818181818,0.980582524271845,0.948356807511737
Court of Chancery of Delaware,15,11,8,4,0.578947368421053,0.733333333333333,0.647058823529412
Court of Civil Appeals of Alabama,486,441,26,45,0.944325481798715,0.907407407407407,0.925498426023085
Court of Claims of Illinois,394,389,0,5,1,0.987309644670051,0.993614303959131
Court of Criminal Appeals of Alabama,864,846,6,18,0.992957746478873,0.979166666666667,0.986013986013986
Court of Criminal Appeals of Oklahoma,10,1,0,9,1,0.1,0.181818181818182
Court of Criminal Appeals of Texas,106,103,19,3,0.844262295081967,0.971698113207547,0.903508771929825
Court of Customs and Patent Appeals,10,10,1,0,0.909090909090909,1,0.952380952380952
Court of King's Bench,36,31,3,5,0.911764705882353,0.861111111111111,0.885714285714286
District Court of Appeal of Florida,49,41,0,8,1,0.836734693877551,0.911111111111111
"District Court, C.D. California",4,0,1,4,0,0,0
"District Court, D. Alaska",2,2,0,0,1,1,1
"District Court, D. Arizona",4,0,0,4,0,0,0
"District Court, D. Massachusetts",4,0,0,4,0,0,0
"District Court, D. New Hampshire",4,0,2,4,0,0,0
"District Court, D. New Jersey",3,0,0,3,0,0,0
"District Court, D. South Carolina",5,2,3,3,0.4,0.4,0.4
"District Court, District of Columbia",6,3,4,3,0.428571428571429,0.5,0.461538461538462
"District Court, E.D. California",7,4,3,3,0.571428571428571,0.571428571428571,0.571428571428571
"District Court, E.D. New York",3,0,0,3,0,0,0
"District Court, E.D. Pennsylvania",4,3,2,1,0.6,0.75,0.666666666666667
"District Court, M.D. Florida",3,0,0,3,0,0,0
"District Court, N.D. California",3,0,0,3,0,0,0
"District Court, N.D. Illinois",4,0,1,4,0,0,0
"District Court, N.D. Indiana",3,0,0,3,0,0,0
"District Court, S.D. Florida",5,1,3,4,0.25,0.2,0.222222222222222
"District Court, S.D. Illinois",3,0,0,3,0,0,0
"District Court, S.D. New York",28,23,8,5,0.741935483870968,0.821428571428571,0.779661016949153
"District Court, W.D. Michigan",6,5,2,1,0.714285714285714,0.833333333333333,0.769230769230769
District of Columbia Court of Appeals,49,40,1,9,0.975609756097561,0.816326530612245,0.888888888888889
Florida Attorney General Reports,31,26,2,5,0.928571428571429,0.838709677419355,0.88135593220339
Florida Fifth District Court of Appeal,6,5,0,1,1,0.833333333333333,0.909090909090909
Florida First District Court of Appeal,9,3,1,6,0.75,0.333333333333333,0.461538461538462
Florida Fourth District Court of Appeal,3,2,0,1,1,0.666666666666667,0.8
Florida Second District Court of Appeal,12,11,0,1,1,0.916666666666667,0.956521739130435
Florida Third District Court of Appeal,9,9,1,0,0.9,1,0.947368421052632
Hawaii Intermediate Court of Appeals,84,79,3,5,0.963414634146341,0.940476190476191,0.951807228915663
Hawaii Supreme Court,16,12,0,4,1,0.75,0.857142857142857
Idaho Court of Appeals,13,13,0,0,1,1,1
Idaho Supreme Court,14,11,0,3,1,0.785714285714286,0.88
Illinois Supreme Court,524,509,5,15,0.990272373540856,0.971374045801527,0.980732177263969
Indiana Court of Appeals,231,228,2,3,0.991304347826087,0.987012987012987,0.989154013015184
Indiana Supreme Court,15,12,1,3,0.923076923076923,0.8,0.857142857142857
Louisiana Attorney General Reports,173,173,14,0,0.925133689839572,1,0.961111111111111
Louisiana Court of Appeal,103,90,13,13,0.87378640776699,0.87378640776699,0.87378640776699
Massachusetts Appeals Court,39,38,0,1,1,0.974358974358974,0.987012987012987
Massachusetts Supreme Judicial Court,45,41,5,4,0.891304347826087,0.911111111111111,0.901098901098901
Michigan Supreme Court,126,90,3,36,0.967741935483871,0.714285714285714,0.821917808219178
Mississippi Supreme Court,534,520,10,14,0.981132075471698,0.973782771535581,0.977443609022557
Missouri Attorney General Reports,159,153,1,6,0.993506493506494,0.962264150943396,0.977635782747604
Missouri Court of Appeals,165,161,6,4,0.964071856287425,0.975757575757576,0.969879518072289
Montana Supreme Court,149,136,5,13,0.964539007092199,0.912751677852349,0.937931034482759
Nebraska Attorney General Reports,204,198,9,6,0.956521739130435,0.970588235294118,0.963503649635036
Nebraska Court of Appeals,4,1,0,3,1,0.25,0.4
Nevada Supreme Court,465,423,79,42,0.842629482071713,0.909677419354839,0.874870734229576
New Jersey Court of Chancery,5,0,0,5,0,0,0
New Jersey Superior Court Appellate Division,173,170,1,3,0.994152046783626,0.982658959537572,0.988372093023256
New Jersey Tax Court,7,7,0,0,1,1,1
New Mexico Supreme Court,48,45,1,3,0.978260869565217,0.9375,0.957446808510638
New York Attorney General Reports,59,53,2,6,0.963636363636364,0.898305084745763,0.929824561403509
New York Court of Appeals,530,510,19,20,0.964083175803403,0.962264150943396,0.963172804532578
New York Supreme Court,12,0,1,12,0,0,0
New York Surrogate's Court,2,0,0,2,0,0,0
North Carolina Industrial Commission,311,311,4,0,0.987301587301587,1,0.993610223642172
North Dakota Supreme Court,7,1,0,6,1,0.142857142857143,0.25
Ohio Court of Appeals,537,514,140,23,0.785932721712538,0.957169459962756,0.863140218303946
Ohio Supreme Court,509,475,7,34,0.985477178423237,0.933202357563851,0.958627648839556
Oklahoma Attorney General Reports,245,242,6,3,0.975806451612903,0.987755102040816,0.981744421906694
Oregon Supreme Court,185,175,2,10,0.988700564971751,0.945945945945946,0.966850828729282
Oregon Tax Court,10,10,0,0,1,1,1
South Dakota Supreme Court,50,32,2,18,0.941176470588235,0.64,0.761904761904762
Superior Court of Delaware,20,7,1,13,0.875,0.35,0.5
Superior Court of North Carolina,53,41,21,12,0.661290322580645,0.773584905660377,0.71304347826087
Superior Court of Pennsylvania,1323,1308,117,15,0.917894736842105,0.988662131519274,0.951965065502183
Superior Court of Rhode Island,13,0,0,13,0,0,0
Supreme Court of Alabama,454,376,43,78,0.897374701670644,0.828193832599119,0.861397479954181
Supreme Court of Arkansas,11,4,2,7,0.666666666666667,0.363636363636364,0.470588235294118
Supreme Court of Colorado,11,6,1,5,0.857142857142857,0.545454545454545,0.666666666666667
Supreme Court of Connecticut,18,18,0,0,1,1,1
Supreme Court of Delaware,191,150,9,41,0.943396226415094,0.785340314136126,0.857142857142857
Supreme Court of Florida,780,765,62,15,0.92503022974607,0.980769230769231,0.952084629744866
Supreme Court of Georgia,221,207,29,14,0.877118644067797,0.936651583710407,0.905908096280088
Supreme Court of Iowa,11,5,0,6,1,0.454545454545455,0.625
Supreme Court of Kansas,4,0,0,4,0,0,0
Supreme Court of Louisiana,304,281,9,23,0.968965517241379,0.924342105263158,0.946127946127946
Supreme Court of Minnesota,43,25,18,18,0.581395348837209,0.581395348837209,0.581395348837209
Supreme Court of Missouri,348,343,7,5,0.98,0.985632183908046,0.982808022922636
Supreme Court of New Hampshire,19,7,0,12,1,0.368421052631579,0.538461538461538
Supreme Court of New Jersey,79,67,1,12,0.985294117647059,0.848101265822785,0.91156462585034
Supreme Court of North Carolina,400,383,59,17,0.866515837104073,0.9575,0.909738717339667
Supreme Court of Oklahoma,10,0,0,10,0,0,0
Supreme Court of Pennsylvania,125,103,5,22,0.953703703703704,0.824,0.88412017167382
Supreme Court of Puerto Rico,6,3,0,3,1,0.5,0.666666666666667
Supreme Court of Rhode Island,11,3,0,8,1,0.272727272727273,0.428571428571429
Supreme Court of South Carolina,27,19,0,8,1,0.703703703703704,0.826086956521739
Supreme Court of the United States,7112,7085,146,27,0.979809155026967,0.996203599550056,0.987938367147738
Supreme Court of Vermont,64,57,1,7,0.982758620689655,0.890625,0.934426229508197
Supreme Court of Virginia,7,4,3,3,0.571428571428571,0.571428571428571,0.571428571428571
Tennessee Superior Court for Law and Equity,17,2,0,15,1,0.117647058823529,0.210526315789474
Tennessee Supreme Court,6,0,0,6,0,0,0
Texas Attorney General Reports,55,50,0,5,1,0.909090909090909,0.952380952380952
"Texas Court of Appeals, 10th District (Waco)",4,0,0,4,0,0,0
"Texas Court of Appeals, 11th District (Eastland)",28,27,1,1,0.964285714285714,0.964285714285714,0.964285714285714
"Texas Court of Appeals, 12th District (Tyler)",102,102,0,0,1,1,1
"Texas Court of Appeals, 13th District",52,52,0,0,1,1,1
"Texas Court of Appeals, 2nd District (Fort Worth)",356,354,1,2,0.997183098591549,0.99438202247191,0.9957805907173
"Texas Court of Appeals, 3rd District (Austin)",99,97,0,2,1,0.97979797979798,0.989795918367347
"Texas Court of Appeals, 4th District (San Antonio)",52,52,0,0,1,1,1
"Texas Court of Appeals, 6th District (Texarkana)",13,12,0,1,1,0.923076923076923,0.96
"Texas Court of Appeals, 7th District (Amarillo)",292,291,11,1,0.963576158940397,0.996575342465753,0.97979797979798
"Texas Court of Appeals, 8th District (El Paso)",20,17,0,3,1,0.85,0.918918918918919
"Texas Court of Appeals, 9th District (Beaumont)",202,201,0,1,1,0.995049504950495,0.997518610421836
Texas Supreme Court,17,4,0,13,1,0.235294117647059,0.380952380952381
U.S. Circuit Court for the District of District of Columbia,4,2,6,2,0.25,0.5,0.333333333333333
U.S. Circuit Court for the District of Massachusetts,3,1,0,2,1,0.333333333333333,0.5
United States Board of Tax Appeals,5,4,0,1,1,0.8,0.888888888888889
United States Court of International Trade,4,4,0,0,1,1,1
Utah Supreme Court,69,59,5,10,0.921875,0.855072463768116,0.887218045112782
Washington Supreme Court,44,35,4,9,0.897435897435897,0.795454545454545,0.843373493975904
Wisconsin Supreme Court,181,171,6,10,0.966101694915254,0.94475138121547,0.955307262569832
