class,support,tp,fp,fn,precision,recall,f1
f,7940,7903,158,37,0.980399454162015,0.995340050377834,0.987813261671146
fd,101,77,5,24,0.939024390243902,0.762376237623762,0.841530054644809
fs,48,44,1,4,0.977777777777778,0.916666666666667,0.946236559139785
i,36,16,0,20,1,0.444444444444444,0.615384615384615
s,7337,7038,328,299,0.95547108335596,0.959247648902821,0.957355641705774
sa,13349,13033,256,316,0.980735947023854,0.976327814817589,0.978526916435168
sag,795,792,10,3,0.987531172069825,0.99622641509434,0.991859737006888
ss,680,647,0,33,1,0.951470588235294,0.975131876412961
st,406,387,0,19,1,0.95320197044335,0.976040353089533
ts,6,3,0,3,1,0.5,0.666666666666667
