class,support,tp,fp,fn,precision,recall,f1
Alabama Court of Appeals,356,331,14,25,0.959420289855072,0.929775280898876,0.944365192582026
Alaska Supreme Court,6,2,0,4,1,0.333333333333333,0.5
Appellate Court of Illinois,4103,4085,12,18,0.997071027581157,0.995612966122349,0.996341463414634
Appellate Division of the Supreme Court of the State of New York,46,31,15,15,0.673913043478261,0.673913043478261,0.673913043478261
Arizona Supreme Court,13,8,1,5,0.888888888888889,0.615384615384615,0.727272727272727
Arkansas Attorney General Reports,110,107,2,3,0.981651376146789,0.972727272727273,0.97716894977169
Board of Veterans' Appeals,29,28,0,1,1,0.96551724137931,0.982456140350877
California Court of Appeal,56,39,8,17,0.829787234042553,0.696428571428571,0.757281553398058
California Supreme Court,74,61,31,13,0.66304347826087,0.824324324324324,0.734939759036145
Colorado Attorney General Reports,4,1,0,3,1,0.25,0.4
Colorado Court of Appeals,8,7,0,1,1,0.875,0.933333333333333
Commonwealth Court of Pennsylvania,28,2,0,26,1,0.0714285714285714,0.133333333333333
Connecticut Appellate Court,6,5,0,1,1,0.833333333333333,0.909090909090909
Connecticut Superior Court,1154,1144,11,10,0.990476190476191,0.991334488734835,0.99090515374621
Court for the Trial of Impeachments and Correction of Errors,105,95,0,10,1,0.904761904761905,0.95
Court of Appeals for the D.C. Circuit,9,1,0,8,1,0.111111111111111,0.2
Court of Appeals for the Eighth Circuit,41,22,10,19,0.6875,0.536585365853659,0.602739726027397
Court of Appeals for the Eleventh Circuit,27,5,2,22,0.714285714285714,0.185185185185185,0.294117647058823
Court of Appeals for the Federal Circuit,56,32,26,24,0.551724137931035,0.571428571428571,0.56140350877193
Court of Appeals for the Fifth Circuit,166,160,143,6,0.528052805280528,0.963855421686747,0.682302771855011
Court of Appeals for the First Circuit,40,20,2,20,0.909090909090909,0.5,0.645161290322581
Court of Appeals for the Fourth Circuit,79,37,71,42,0.342592592592593,0.468354430379747,0.39572192513369
Court of Appeals for the Ninth Circuit,119,63,38,56,0.623762376237624,0.529411764705882,0.572727272727273
Court of Appeals for the Second Circuit,126,105,83,21,0.558510638297872,0.833333333333333,0.668789808917197
Court of Appeals for the Seventh Circuit,44,7,6,37,0.538461538461538,0.159090909090909,0.245614035087719
Court of Appeals for the Sixth Circuit,26,0,0,26,0,0,0
Court of Appeals for the Tenth Circuit,44,11,6,33,0.647058823529412,0.25,0.360655737704918
Court of Appeals for the Third Circuit,44,23,10,21,0.696969696969697,0.522727272727273,0.597402597402597
Court of Appeals of Arkansas,3,1,0,2,1,0.333333333333333,0.5
Court of Appeals of Georgia,38,24,4,14,0.857142857142857,0.631578947368421,0.727272727272727
Court of Appeals of Iowa,9,6,0,3,1,0.666666666666667,0.8
