class,support,tp,fp,fn,precision,recall,f1
Alabama Court of Appeals,356,330,33,26,0.909090909090909,0.926966292134832,0.917941585535466
Alaska Supreme Court,6,1,0,5,1,0.166666666666667,0.285714285714286
Appellate Court of Illinois,4103,4059,123,44,0.970588235294118,0.989276139410188,0.979843089921545
Appellate Division of the Supreme Court of the State of New York,46,25,9,21,0.735294117647059,0.543478260869565,0.625
Arizona Supreme Court,13,0,0,13,0,0,0
Arkansas Attorney General Reports,110,108,4,2,0.964285714285714,0.981818181818182,0.972972972972973
Board of Veterans' Appeals,29,28,0,1,1,0.96551724137931,0.982456140350877
California Court of Appeal,56,51,15,5,0.772727272727273,0.910714285714286,0.836065573770492
California Supreme Court,74,53,15,21,0.779411764705882,0.716216216216216,0.746478873239437
Colorado Attorney General Reports,4,0,0,4,0,0,0
Colorado Court of Appeals,8,7,0,1,1,0.875,0.933333333333333
Commonwealth Court of Pennsylvania,28,6,0,22,1,0.214285714285714,0.352941176470588
Connecticut Appellate Court,6,0,0,6,0,0,0
Connecticut Superior Court,1154,1145,90,9,0.927125506072874,0.992201039861352,0.958560066973629
Court for the Trial of Impeachments and Correction of Errors,105,98,7,7,0.933333333333333,0.933333333333333,0.933333333333333
Court of Appeals for the D.C. Circuit,9,0,0,9,0,0,0
Court of Appeals for the Eighth Circuit,41,22,7,19,0.758620689655172,0.536585365853659,0.628571428571429
Court of Appeals for the Eleventh Circuit,27,0,0,27,0,0,0
Court of Appeals for the Federal Circuit,56,35,17,21,0.673076923076923,0.625,0.648148148148148
Court of Appeals for the Fifth Circuit,166,145,87,21,0.625,0.873493975903615,0.728643216080402
Court of Appeals for the First Circuit,40,18,0,22,1,0.45,0.620689655172414
Court of Appeals for the Fourth Circuit,79,38,58,41,0.395833333333333,0.481012658227848,0.434285714285714
Court of Appeals for the Ninth Circuit,119,60,24,59,0.714285714285714,0.504201680672269,0.591133004926108
Court of Appeals for the Second Circuit,126,102,62,24,0.621951219512195,0.80952380952381,0.703448275862069
Court of Appeals for the Seventh Circuit,44,5,11,39,0.3125,0.113636363636364,0.166666666666667
Court of Appeals for the Sixth Circuit,26,0,0,26,0,0,0
Court of Appeals for the Tenth Circuit,44,6,7,38,0.461538461538462,0.136363636363636,0.210526315789474
Court of Appeals for the Third Circuit,44,15,12,29,0.555555555555556,0.340909090909091,0.422535211267606
Court of Appeals of Arkansas,3,0,0,3,0,0,0
Court of Appeals of Georgia,38,18,4,20,0.818181818181818,0.473684210526316,0.6
Court of Appeals of Iowa,9,6,0,3,1,0.666666666666667,0.8
Court of Appeals of Kansas,270,268,1,2,0.996282527881041,0.992592592592593,0.99443413729128
Court of Appeals of Kentucky (pre-1976),58,54,1,4,0.981818181818182,0.931034482758621,0.95575221238938
Court of Appeals of Maryland,359,353,1,6,0.997175141242938,0.983286908077995,0.990182328190743
Court of Appeals of Minnesota,9,5,2,4,0.714285714285714,0.555555555555556,0.625
Court of Appeals of Mississippi,28,28,0,0,1,1,1
Court of Appeals of North Carolina,1257,1251,21,6,0.983490566037736,0.995226730310262,0.98932384341637
Court of Appeals of Oregon,323,315,5,8,0.984375,0.975232198142415,0.979782270606532
Court of Appeals of South Carolina,5,4,0,1,1,0.8,0.888888888888889
Court of Appeals of Texas,39,14,13,25,0.518518518518519,0.358974358974359,0.424242424242424
Court of Appeals of Washington,45,30,3,15,0.909090909090909,0.666666666666667,0.769230769230769
Court of Appeals of Wisconsin,103,99,2,4,0.98019801980198,0.961165048543689,0.970588235294118
Court of Chancery of Delaware,15,13,4,2,0.764705882352941,0.866666666666667,0.8125
Court of Civil Appeals of Alabama,486,445,57,41,0.886454183266932,0.915637860082304,0.90080971659919
Court of Claims of Illinois,394,388,0,6,1,0.984771573604061,0.9923273657289
Court of Criminal Appeals of Alabama,864,854,1,10,0.998830409356725,0.988425925925926,0.993600930773706
Court of Criminal Appeals of Oklahoma,10,1,0,9,1,0.1,0.181818181818182
Court of Criminal Appeals of Texas,106,101,47,5,0.682432432432433,0.952830188679245,0.795275590551181
Court of Customs and Patent Appeals,10,3,0,7,1,0.3,0.461538461538462
Court of King's Bench,36,33,3,3,0.916666666666667,0.916666666666667,0.916666666666667
District Court of Appeal of Florida,49,40,2,9,0.952380952380952,0.816326530612245,0.879120879120879
"District Court, C.D. California",4,0,0,4,0,0,0
"District Court, D. Alaska",2,2,0,0,1,1,1
"District Court, D. Arizona",4,0,0,4,0,0,0
"District Court, D. Massachusetts",4,0,0,4,0,0,0
"District Court, D. New Hampshire",4,0,0,4,0,0,0
"District Court, D. New Jersey",3,0,0,3,0,0,0
"District Court, D. South Carolina",5,1,0,4,1,0.2,0.333333333333333
"District Court, District of Columbia",6,0,0,6,0,0,0
"District Court, E.D. California",7,0,0,7,0,0,0
"District Court, E.D. New York",3,0,0,3,0,0,0
"District Court, E.D. Pennsylvania",4,0,0,4,0,0,0
"District Court, M.D. Florida",3,0,0,3,0,0,0
"District Court, N.D. California",3,0,0,3,0,0,0
"District Court, N.D. Illinois",4,0,0,4,0,0,0
"District Court, N.D. Indiana",3,0,0,3,0,0,0
"District Court, S.D. Florida",5,0,0,5,0,0,0
"District Court, S.D. Illinois",3,0,0,3,0,0,0
"District Court, S.D. New York",28,22,5,6,0.814814814814815,0.785714285714286,0.8
"District Court, W.D. Michigan",6,4,1,2,0.8,0.666666666666667,0.727272727272727
District of Columbia Court of Appeals,49,42,0,7,1,0.857142857142857,0.923076923076923
Florida Attorney General Reports,31,28,2,3,0.933333333333333,0.903225806451613,0.918032786885246
Florida Fifth District Court of Appeal,6,4,0,2,1,0.666666666666667,0.8
Florida First District Court of Appeal,9,4,1,5,0.8,0.444444444444444,0.571428571428571
Florida Fourth District Court of Appeal,3,0,0,3,0,0,0
Florida Second District Court of Appeal,12,11,0,1,1,0.916666666666667,0.956521739130435
Florida Third District Court of Appeal,9,7,3,2,0.7,0.777777777777778,0.736842105263158
Hawaii Intermediate Court of Appeals,84,80,2,4,0.975609756097561,0.952380952380952,0.963855421686747
Hawaii Supreme Court,16,10,0,6,1,0.625,0.769230769230769
Idaho Court of Appeals,13,13,1,0,0.928571428571429,1,0.962962962962963
Idaho Supreme Court,14,2,0,12,1,0.142857142857143,0.25
