class,support,tp,fp,fn,precision,recall,f1
f,7940,7847,237,93,0.970682830282039,0.988287153652393,0.979405891163255
fd,101,61,2,40,0.968253968253968,0.603960396039604,0.74390243902439
fs,48,30,0,18,1,0.625,0.769230769230769
i,36,32,2,4,0.941176470588235,0.888888888888889,0.914285714285714
s,7337,6851,524,486,0.928949152542373,0.933760392531007,0.931348558999456
sa,13349,12850,418,499,0.968495628580042,0.96261892276575,0.96554833377165
sag,795,791,22,4,0.972939729397294,0.994968553459119,0.983830845771144
ss,680,633,7,47,0.9890625,0.930882352941176,0.959090909090909
st,406,388,3,18,0.9923273657289,0.955665024630542,0.973651191969887
ts,6,0,0,6,0,0,0
