class,support,tp,fp,fn,precision,recall,f1
Alabama Court of Appeals,356,322,42,34,0.884615384615385,0.904494382022472,0.894444444444444
Alaska Supreme Court,6,1,0,5,1,0.166666666666667,0.285714285714286
Appellate Court of Illinois,4103,4062,80,41,0.980685659101883,0.990007311723129,0.985324439053972
Appellate Division of the Supreme Court of the State of New York,46,8,1,38,0.888888888888889,0.173913043478261,0.290909090909091
Arizona Supreme Court,13,0,0,13,0,0,0
Arkansas Attorney General Reports,110,109,0,1,1,0.990909090909091,0.995433789954338
Board of Veterans' Appeals,29,26,0,3,1,0.896551724137931,0.945454545454546
California Court of Appeal,56,33,41,23,0.445945945945946,0.589285714285714,0.507692307692308
California Supreme Court,74,51,44,23,0.536842105263158,0.689189189189189,0.603550295857988
Colorado Attorney General Reports,4,0,0,4,0,0,0
Colorado Court of Appeals,8,7,0,1,1,0.875,0.933333333333333
Commonwealth Court of Pennsylvania,28,6,0,22,1,0.214285714285714,0.352941176470588
Connecticut Appellate Court,6,0,0,6,0,0,0
Connecticut Superior Court,1154,1142,109,12,0.912869704236611,0.989601386481802,0.94968814968815
Court for the Trial of Impeachments and Correction of Errors,105,85,3,20,0.965909090909091,0.80952380952381,0.880829015544041
Court of Appeals for the D.C. Circuit,9,0,0,9,0,0,0
Court of Appeals for the Eighth Circuit,41,22,6,19,0.785714285714286,0.536585365853659,0.63768115942029
Court of Appeals for the Eleventh Circuit,27,0,0,27,0,0,0
Court of Appeals for the Federal Circuit,56,35,17,21,0.673076923076923,0.625,0.648148148148148
Court of Appeals for the Fifth Circuit,166,131,92,35,0.587443946188341,0.789156626506024,0.673521850899743
Court of Appeals for the First Circuit,40,18,0,22,1,0.45,0.620689655172414
Court of Appeals for the Fourth Circuit,79,36,65,43,0.356435643564356,0.455696202531646,0.4
Court of Appeals for the Ninth Circuit,119,60,23,59,0.72289156626506,0.504201680672269,0.594059405940594
Court of Appeals for the Second Circuit,126,96,52,30,0.648648648648649,0.761904761904762,0.700729927007299
Court of Appeals for the Seventh Circuit,44,4,8,40,0.333333333333333,0.0909090909090909,0.142857142857143
Court of Appeals for the Sixth Circuit,26,0,0,26,0,0,0
Court of Appeals for the Tenth Circuit,44,8,8,36,0.5,0.181818181818182,0.266666666666667
Court of Appeals for the Third Circuit,44,18,8,26,0.692307692307692,0.409090909090909,0.514285714285714
Court of Appeals of Arkansas,3,0,0,3,0,0,0
Court of Appeals of Georgia,38,16,7,22,0.695652173913044,0.421052631578947,0.524590163934426
Court of Appeals of Iowa,9,6,0,3,1,0.666666666666667,0.8
Court of Appeals of Kansas,270,267,2,3,0.992565055762082,0.988888888888889,0.990723562152134
Court of Appeals of Kentucky (pre-1976),58,55,1,3,0.982142857142857,0.948275862068965,0.964912280701754
Court of Appeals of Maryland,359,353,5,6,0.986033519553073,0.983286908077995,0.98465829846583
Court of Appeals of Minnesota,9,1,0,8,1,0.111111111111111,0.2
Court of Appeals of Mississippi,28,26,0,2,1,0.928571428571429,0.962962962962963
Court of Appeals of North Carolina,1257,1249,38,8,0.97047397047397,0.993635640413683,0.981918238993711
Court of Appeals of Oregon,323,316,6,7,0.981366459627329,0.978328173374613,0.97984496124031
Court of Appeals of South Carolina,5,0,0,5,0,0,0
Court of Appeals of Texas,39,2,11,37,0.153846153846154,0.0512820512820513,0.0769230769230769
Court of Appeals of Washington,45,12,8,33,0.6,0.266666666666667,0.369230769230769
Court of Appeals of Wisconsin,103,98,2,5,0.98,0.951456310679612,0.96551724137931
Court of Chancery of Delaware,15,0,0,15,0,0,0
Court of Civil Appeals of Alabama,486,424,57,62,0.881496881496882,0.872427983539095,0.87693898655636
Court of Claims of Illinois,394,388,0,6,1,0.984771573604061,0.9923273657289
Court of Criminal Appeals of Alabama,864,849,3,15,0.996478873239437,0.982638888888889,0.98951048951049
Court of Criminal Appeals of Oklahoma,10,3,0,7,1,0.3,0.461538461538462
Court of Criminal Appeals of Texas,106,86,45,20,0.656488549618321,0.811320754716981,0.725738396624473
Court of Customs and Patent Appeals,10,4,0,6,1,0.4,0.571428571428572
Court of King's Bench,36,32,2,4,0.941176470588235,0.888888888888889,0.914285714285714
District Court of Appeal of Florida,49,33,0,16,1,0.673469387755102,0.804878048780488
"District Court, C.D. California",4,0,0,4,0,0,0
"District Court, D. Alaska",2,2,0,0,1,1,1
"District Court, D. Arizona",4,0,0,4,0,0,0
"District Court, D. Massachusetts",4,0,0,4,0,0,0
"District Court, D. New Hampshire",4,0,1,4,0,0,0
"District Court, D. New Jersey",3,0,0,3,0,0,0
"District Court, D. South Carolina",5,2,0,3,1,0.4,0.571428571428572
"District Court, District of Columbia",6,3,4,3,0.428571428571429,0.5,0.461538461538462
"District Court, E.D. California",7,0,2,7,0,0,0
"District Court, E.D. New York",3,0,1,3,0,0,0
"District Court, E.D. Pennsylvania",4,1,0,3,1,0.25,0.4
"District Court, M.D. Florida",3,0,0,3,0,0,0
"District Court, N.D. California",3,0,0,3,0,0,0
"District Court, N.D. Illinois",4,0,0,4,0,0,0
"District Court, N.D. Indiana",3,0,0,3,0,0,0
"District Court, S.D. Florida",5,0,0,5,0,0,0
"District Court, S.D. Illinois",3,0,0,3,0,0,0
"District Court, S.D. New York",28,21,14,7,0.6,0.75,0.666666666666667
"District Court, W.D. Michigan",6,5,7,1,0.416666666666667,0.833333333333333,0.555555555555556
District of Columbia Court of Appeals,49,30,0,19,1,0.612244897959184,0.759493670886076
Florida Attorney General Reports,31,27,0,4,1,0.870967741935484,0.931034482758621
Florida Fifth District Court of Appeal,6,1,0,5,1,0.166666666666667,0.285714285714286
Florida First District Court of Appeal,9,3,1,6,0.75,0.333333333333333,0.461538461538462
Florida Fourth District Court of Appeal,3,0,0,3,0,0,0
Florida Second District Court of Appeal,12,11,0,1,1,0.916666666666667,0.956521739130435
Florida Third District Court of Appeal,9,7,6,2,0.538461538461538,0.777777777777778,0.636363636363636
Hawaii Intermediate Court of Appeals,84,79,2,5,0.975308641975309,0.940476190476191,0.957575757575757
Hawaii Supreme Court,16,7,0,9,1,0.4375,0.608695652173913
Idaho Court of Appeals,13,13,1,0,0.928571428571429,1,0.962962962962963
Idaho Supreme Court,14,0,0,14,0,0,0
Illinois Supreme Court,524,490,19,34,0.962671905697446,0.935114503816794,0.948693126815101
Indiana Court of Appeals,231,217,0,14,1,0.939393939393939,0.96875
Indiana Supreme Court,15,12,0,3,1,0.8,0.888888888888889
Louisiana Attorney General Reports,173,173,9,0,0.950549450549451,1,0.974647887323944
Louisiana Court of Appeal,103,62,13,41,0.826666666666667,0.601941747572815,0.696629213483146
Massachusetts Appeals Court,39,36,0,3,1,0.923076923076923,0.96
Massachusetts Supreme Judicial Court,45,40,7,5,0.851063829787234,0.888888888888889,0.869565217391305
Michigan Supreme Court,126,78,7,48,0.917647058823529,0.619047619047619,0.739336492890995
Mississippi Supreme Court,534,523,30,11,0.945750452079566,0.97940074906367,0.96228150873965
Missouri Attorney General Reports,159,157,0,2,1,0.987421383647799,0.993670886075949
Missouri Court of Appeals,165,153,16,12,0.905325443786982,0.927272727272727,0.916167664670659
Montana Supreme Court,149,127,5,22,0.962121212121212,0.852348993288591,0.903914590747331
Nebraska Attorney General Reports,204,203,18,1,0.918552036199095,0.995098039215686,0.955294117647059
Nebraska Court of Appeals,4,0,0,4,0,0,0
Nevada Supreme Court,465,438,78,27,0.848837209302326,0.941935483870968,0.892966360856269
New Jersey Court of Chancery,5,0,0,5,0,0,0
New Jersey Superior Court Appellate Division,173,170,2,3,0.988372093023256,0.982658959537572,0.985507246376811
New Jersey Tax Court,7,0,1,7,0,0,0
New Mexico Supreme Court,48,43,0,5,1,0.895833333333333,0.945054945054945
New York Attorney General Reports,59,52,8,7,0.866666666666667,0.88135593220339,0.873949579831933
New York Court of Appeals,530,503,48,27,0.912885662431942,0.949056603773585,0.930619796484736
New York Supreme Court,12,0,3,12,0,0,0
New York Surrogate's Court,2,0,0,2,0,0,0
North Carolina Industrial Commission,311,310,2,1,0.993589743589744,0.996784565916399,0.995184590690209
North Dakota Supreme Court,7,0,0,7,0,0,0
Ohio Court of Appeals,537,483,77,54,0.8625,0.899441340782123,0.880583409298086
Ohio Supreme Court,509,459,34,50,0.931034482758621,0.901768172888016,0.916167664670659
Oklahoma Attorney General Reports,245,237,2,8,0.99163179916318,0.96734693877551,0.979338842975207
Oregon Supreme Court,185,176,0,9,1,0.951351351351351,0.975069252077562
Oregon Tax Court,10,0,0,10,0,0,0
South Dakota Supreme Court,50,21,0,29,1,0.42,0.591549295774648
Superior Court of Delaware,20,2,0,18,1,0.1,0.181818181818182
Superior Court of North Carolina,53,3,5,50,0.375,0.0566037735849057,0.0983606557377049
Superior Court of Pennsylvania,1323,1291,100,32,0.928109273903666,0.975812547241119,0.951363301400147
Superior Court of Rhode Island,13,0,0,13,0,0,0
Supreme Court of Alabama,454,346,105,108,0.767184035476718,0.762114537444934,0.764640883977901
Supreme Court of Arkansas,11,0,0,11,0,0,0
Supreme Court of Colorado,11,5,0,6,1,0.454545454545455,0.625
Supreme Court of Connecticut,18,18,0,0,1,1,1
Supreme Court of Delaware,191,182,5,9,0.973262032085561,0.952879581151833,0.962962962962963
Supreme Court of Florida,780,750,117,30,0.865051903114187,0.961538461538461,0.910746812386157
Supreme Court of Georgia,221,190,84,31,0.693430656934307,0.859728506787331,0.767676767676768
Supreme Court of Iowa,11,0,0,11,0,0,0
Supreme Court of Kansas,4,0,0,4,0,0,0
Supreme Court of Louisiana,304,284,13,20,0.956228956228956,0.93421052631579,0.945091514143095
Supreme Court of Minnesota,43,27,17,16,0.613636363636364,0.627906976744186,0.620689655172414
Supreme Court of Missouri,348,337,13,11,0.962857142857143,0.968390804597701,0.965616045845272
Supreme Court of New Hampshire,19,2,0,17,1,0.105263157894737,0.190476190476191
Supreme Court of New Jersey,79,61,0,18,1,0.772151898734177,0.871428571428571
Supreme Court of North Carolina,400,376,158,24,0.704119850187266,0.94,0.805139186295503
Supreme Court of Oklahoma,10,0,0,10,0,0,0
Supreme Court of Pennsylvania,125,104,7,21,0.936936936936937,0.832,0.88135593220339
Supreme Court of Puerto Rico,6,0,0,6,0,0,0
Supreme Court of Rhode Island,11,1,0,10,1,0.0909090909090909,0.166666666666667
Supreme Court of South Carolina,27,13,0,14,1,0.481481481481482,0.65
Supreme Court of the United States,7112,7082,295,30,0.960010844516741,0.99578177727784,0.977569190420319
Supreme Court of Vermont,64,54,0,10,1,0.84375,0.915254237288136
Supreme Court of Virginia,7,0,0,7,0,0,0
Tennessee Superior Court for Law and Equity,17,0,0,17,0,0,0
Tennessee Supreme Court,6,0,0,6,0,0,0
Texas Attorney General Reports,55,52,5,3,0.912280701754386,0.945454545454546,0.928571428571428
"Texas Court of Appeals, 10th District (Waco)",4,0,0,4,0,0,0
"Texas Court of Appeals, 11th District (Eastland)",28,27,0,1,1,0.964285714285714,0.981818181818182
"Texas Court of Appeals, 12th District (Tyler)",102,99,14,3,0.876106194690266,0.970588235294118,0.92093023255814
"Texas Court of Appeals, 13th District",52,51,2,1,0.962264150943396,0.980769230769231,0.971428571428571
"Texas Court of Appeals, 2nd District (Fort Worth)",356,345,9,11,0.974576271186441,0.969101123595506,0.971830985915493
"Texas Court of Appeals, 3rd District (Austin)",99,92,11,7,0.893203883495146,0.929292929292929,0.910891089108911
"Texas Court of Appeals, 4th District (San Antonio)",52,36,2,16,0.947368421052632,0.692307692307692,0.8
"Texas Court of Appeals, 6th District (Texarkana)",13,2,0,11,1,0.153846153846154,0.266666666666667
"Texas Court of Appeals, 7th District (Amarillo)",292,281,27,11,0.912337662337662,0.962328767123288,0.936666666666667
"Texas Court of Appeals, 8th District (El Paso)",20,17,0,3,1,0.85,0.918918918918919
"Texas Court of Appeals, 9th District (Beaumont)",202,200,10,2,0.952380952380952,0.99009900990099,0.970873786407767
Texas Supreme Court,17,0,0,17,0,0,0
U.S. Circuit Court for the District of District of Columbia,4,0,0,4,0,0,0
U.S. Circuit Court for the District of Massachusetts,3,0,0,3,0,0,0
United States Board of Tax Appeals,5,0,0,5,0,0,0
United States Court of International Trade,4,0,0,4,0,0,0
Utah Supreme Court,69,55,7,14,0.887096774193548,0.797101449275362,0.83969465648855
Washington Supreme Court,44,26,20,18,0.565217391304348,0.590909090909091,0.577777777777778
Wisconsin Supreme Court,181,169,13,12,0.928571428571429,0.933701657458563,0.931129476584022
