class,support,tp,fp,fn,precision,recall,f1
Alabama Court of Appeals,356,27,112,329,0.194244604316547,0.0758426966292135,0.109090909090909
Alaska Supreme Court,6,0,123,6,0,0,0
Appellate Court of Illinois,4103,276,150,3827,0.647887323943662,0.067267852790641,0.121881209980128
Appellate Division of the Supreme Court of the State of New York,46,4,126,42,0.0307692307692308,0.0869565217391304,0.0454545454545455
Arizona Supreme Court,13,0,96,13,0,0,0
Arkansas Attorney General Reports,110,4,133,106,0.0291970802919708,0.0363636363636364,0.0323886639676113
Board of Veterans' Appeals,29,0,151,29,0,0,0
California Court of Appeal,56,6,96,50,0.0588235294117647,0.107142857142857,0.0759493670886076
California Supreme Court,74,3,110,71,0.0265486725663717,0.0405405405405405,0.0320855614973262
Colorado Attorney General Reports,4,0,105,4,0,0,0
Colorado Court of Appeals,8,0,103,8,0,0,0
Commonwealth Court of Pennsylvania,28,1,162,27,0.00613496932515337,0.0357142857142857,0.0104712041884817
Connecticut Appellate Court,6,1,95,5,0.0104166666666667,0.166666666666667,0.0196078431372549
Connecticut Superior Court,1154,52,102,1102,0.337662337662338,0.0450606585788562,0.0795107033639144
Court for the Trial of Impeachments and Correction of Errors,105,7,1086,98,0.00640439158279963,0.0666666666666667,0.011686143572621
Court of Appeals for the D.C. Circuit,9,0,94,9,0,0,0
Court of Appeals for the Eighth Circuit,41,0,105,41,0,0,0
Court of Appeals for the Eleventh Circuit,27,0,113,27,0,0,0
Court of Appeals for the Federal Circuit,56,2,95,54,0.0206185567010309,0.0357142857142857,0.0261437908496732
Court of Appeals for the Fifth Circuit,166,19,228,147,0.0769230769230769,0.114457831325301,0.0920096852300242
Court of Appeals for the First Circuit,40,1,101,39,0.00980392156862745,0.025,0.0140845070422535
Court of Appeals for the Fourth Circuit,79,5,119,74,0.0403225806451613,0.0632911392405063,0.0492610837438424
Court of Appeals for the Ninth Circuit,119,5,107,114,0.0446428571428571,0.0420168067226891,0.0432900432900433
Court of Appeals for the Second Circuit,126,12,202,114,0.0560747663551402,0.0952380952380952,0.0705882352941176
Court of Appeals for the Seventh Circuit,44,1,92,43,0.010752688172043,0.0227272727272727,0.0145985401459854
Court of Appeals for the Sixth Circuit,26,0,105,26,0,0,0
Court of Appeals for the Tenth Circuit,44,0,75,44,0,0,0
Court of Appeals for the Third Circuit,44,5,119,39,0.0403225806451613,0.113636363636364,0.0595238095238095
Court of Appeals of Arkansas,3,0,93,3,0,0,0
Court of Appeals of Georgia,38,1,131,37,0.00757575757575758,0.0263157894736842,0.0117647058823529
Court of Appeals of Iowa,9,0,92,9,0,0,0
Court of Appeals of Kansas,270,24,123,246,0.163265306122449,0.0888888888888889,0.115107913669065
Court of Appeals of Kentucky (pre-1976),58,6,106,52,0.0535714285714286,0.103448275862069,0.0705882352941176
Court of Appeals of Maryland,359,15,91,344,0.141509433962264,0.0417827298050139,0.0645161290322581
Court of Appeals of Minnesota,9,0,90,9,0,0,0
Court of Appeals of Mississippi,28,0,104,28,0,0,0
Court of Appeals of North Carolina,1257,45,164,1212,0.215311004784689,0.035799522673031,0.0613915416098226
Court of Appeals of Oregon,323,20,86,303,0.188679245283019,0.0619195046439629,0.0932400932400932
Court of Appeals of South Carolina,5,0,100,5,0,0,0
Court of Appeals of Texas,39,2,123,37,0.016,0.0512820512820513,0.024390243902439
Court of Appeals of Washington,45,2,110,43,0.0178571428571429,0.0444444444444444,0.0254777070063694
Court of Appeals of Wisconsin,103,8,96,95,0.0769230769230769,0.0776699029126214,0.0772946859903382
Court of Chancery of Delaware,15,1,100,14,0.0099009900990099,0.0666666666666667,0.0172413793103448
Court of Civil Appeals of Alabama,486,41,201,445,0.169421487603306,0.0843621399176955,0.112637362637363
Court of Claims of Illinois,394,40,1028,354,0.0374531835205993,0.101522842639594,0.0547195622435021
Court of Criminal Appeals of Alabama,864,54,94,810,0.364864864864865,0.0625,0.106719367588933
Court of Criminal Appeals of Oklahoma,10,0,97,10,0,0,0
Court of Criminal Appeals of Texas,106,4,113,102,0.0341880341880342,0.0377358490566038,0.0358744394618834
Court of Customs and Patent Appeals,10,1,711,9,0.00140449438202247,0.1,0.00277008310249308
Court of King's Bench,36,1,1949,35,0.000512820512820513,0.0277777777777778,0.00100704934541793
District Court of Appeal of Florida,49,1,98,48,0.0101010101010101,0.0204081632653061,0.0135135135135135
"District Court, C.D. California",4,0,84,4,0,0,0
"District Court, D. Alaska",2,0,113,2,0,0,0
"District Court, D. Arizona",4,0,95,4,0,0,0
"District Court, D. Massachusetts",4,0,296,4,0,0,0
"District Court, D. New Hampshire",4,0,119,4,0,0,0
"District Court, D. New Jersey",3,0,93,3,0,0,0
"District Court, D. South Carolina",5,1,92,4,0.010752688172043,0.2,0.0204081632653061
"District Court, District of Columbia",6,0,99,6,0,0,0
"District Court, E.D. California",7,0,99,7,0,0,0
"District Court, E.D. New York",3,0,107,3,0,0,0
"District Court, E.D. Pennsylvania",4,0,95,4,0,0,0
"District Court, M.D. Florida",3,1,128,2,0.00775193798449612,0.333333333333333,0.0151515151515152
"District Court, N.D. California",3,0,123,3,0,0,0
"District Court, N.D. Illinois",4,0,133,4,0,0,0
"District Court, N.D. Indiana",3,0,91,3,0,0,0
"District Court, S.D. Florida",5,0,105,5,0,0,0
"District Court, S.D. Illinois",3,0,84,3,0,0,0
"District Court, S.D. New York",28,5,764,23,0.00650195058517555,0.178571428571429,0.0125470514429109
"District Court, W.D. Michigan",6,0,101,6,0,0,0
District of Columbia Court of Appeals,49,3,256,46,0.0115830115830116,0.0612244897959184,0.0194805194805195
Florida Attorney General Reports,31,5,867,26,0.00573394495412844,0.161290322580645,0.0110741971207087
Florida Fifth District Court of Appeal,6,1,87,5,0.0113636363636364,0.166666666666667,0.0212765957446809
Florida First District Court of Appeal,9,0,86,9,0,0,0
Florida Fourth District Court of Appeal,3,0,107,3,0,0,0
Florida Second District Court of Appeal,12,1,102,11,0.00970873786407767,0.0833333333333333,0.0173913043478261
Florida Third District Court of Appeal,9,0,75,9,0,0,0
Hawaii Intermediate Court of Appeals,84,4,98,80,0.0392156862745098,0.0476190476190476,0.043010752688172
Hawaii Supreme Court,16,0,100,16,0,0,0
Idaho Court of Appeals,13,1,86,12,0.0114942528735632,0.0769230769230769,0.02
Idaho Supreme Court,14,0,86,14,0,0,0
Illinois Supreme Court,524,19,345,505,0.0521978021978022,0.0362595419847328,0.0427927927927928
Indiana Court of Appeals,231,17,95,214,0.151785714285714,0.0735930735930736,0.0991253644314869
Indiana Supreme Court,15,0,99,15,0,0,0
Louisiana Attorney General Reports,173,6,100,167,0.0566037735849057,0.0346820809248555,0.043010752688172
Louisiana Court of Appeal,103,3,100,100,0.029126213592233,0.029126213592233,0.029126213592233
Massachusetts Appeals Court,39,2,118,37,0.0166666666666667,0.0512820512820513,0.0251572327044025
Massachusetts Supreme Judicial Court,45,5,91,40,0.0520833333333333,0.111111111111111,0.0709219858156028
Michigan Supreme Court,126,8,102,118,0.0727272727272727,0.0634920634920635,0.0677966101694915
Mississippi Supreme Court,534,45,114,489,0.283018867924528,0.0842696629213483,0.12987012987013
Missouri Attorney General Reports,159,18,90,141,0.166666666666667,0.113207547169811,0.134831460674157
Missouri Court of Appeals,165,6,113,159,0.0504201680672269,0.0363636363636364,0.0422535211267606
Montana Supreme Court,149,14,106,135,0.116666666666667,0.0939597315436242,0.104089219330855
Nebraska Attorney General Reports,204,14,101,190,0.121739130434783,0.0686274509803922,0.0877742946708464
Nebraska Court of Appeals,4,1,94,3,0.0105263157894737,0.25,0.0202020202020202
Nevada Supreme Court,465,28,114,437,0.197183098591549,0.0602150537634409,0.0922570016474465
New Jersey Court of Chancery,5,0,83,5,0,0,0
New Jersey Superior Court Appellate Division,173,7,94,166,0.0693069306930693,0.0404624277456647,0.0510948905109489
New Jersey Tax Court,7,2,106,5,0.0185185185185185,0.285714285714286,0.0347826086956522
New Mexico Supreme Court,48,4,96,44,0.04,0.0833333333333333,0.0540540540540541
New York Attorney General Reports,59,4,210,55,0.0186915887850467,0.0677966101694915,0.0293040293040293
New York Court of Appeals,530,16,110,514,0.126984126984127,0.030188679245283,0.0487804878048781
New York Supreme Court,12,0,906,12,0,0,0
New York Surrogate's Court,2,0,103,2,0,0,0
North Carolina Industrial Commission,311,29,133,282,0.179012345679012,0.0932475884244373,0.12262156448203
North Dakota Supreme Court,7,0,88,7,0,0,0
Ohio Court of Appeals,537,52,147,485,0.261306532663317,0.0968342644320298,0.141304347826087
Ohio Supreme Court,509,32,148,477,0.177777777777778,0.0628683693516699,0.0928882438316401
Oklahoma Attorney General Reports,245,28,457,217,0.0577319587628866,0.114285714285714,0.0767123287671233
Oregon Supreme Court,185,17,98,168,0.147826086956522,0.0918918918918919,0.113333333333333
Oregon Tax Court,10,0,158,10,0,0,0
South Dakota Supreme Court,50,6,88,44,0.0638297872340426,0.12,0.0833333333333333
Superior Court of Delaware,20,0,95,20,0,0,0
Superior Court of North Carolina,53,4,97,49,0.0396039603960396,0.0754716981132076,0.051948051948052
Superior Court of Pennsylvania,1323,61,130,1262,0.319371727748691,0.0461073318216175,0.0805812417437253
Superior Court of Rhode Island,13,0,89,13,0,0,0
Supreme Court of Alabama,454,37,223,417,0.142307692307692,0.0814977973568282,0.103641456582633
Supreme Court of Arkansas,11,0,99,11,0,0,0
Supreme Court of Colorado,11,1,87,10,0.0113636363636364,0.0909090909090909,0.0202020202020202
Supreme Court of Connecticut,18,1,102,17,0.00970873786407767,0.0555555555555556,0.0165289256198347
Supreme Court of Delaware,191,2,111,189,0.0176991150442478,0.0104712041884817,0.0131578947368421
Supreme Court of Florida,780,34,119,746,0.222222222222222,0.0435897435897436,0.0728831725616292
Supreme Court of Georgia,221,19,117,202,0.139705882352941,0.085972850678733,0.106442577030812
Supreme Court of Iowa,11,0,104,11,0,0,0
Supreme Court of Kansas,4,0,87,4,0,0,0
Supreme Court of Louisiana,304,14,103,290,0.11965811965812,0.0460526315789474,0.0665083135391924
Supreme Court of Minnesota,43,4,90,39,0.0425531914893617,0.0930232558139535,0.0583941605839416
Supreme Court of Missouri,348,13,106,335,0.109243697478992,0.0373563218390805,0.0556745182012848
Supreme Court of New Hampshire,19,1,88,18,0.0112359550561798,0.0526315789473684,0.0185185185185185
Supreme Court of New Jersey,79,0,100,79,0,0,0
Supreme Court of North Carolina,400,16,107,384,0.130081300813008,0.04,0.0611854684512428
Supreme Court of Oklahoma,10,1,98,9,0.0101010101010101,0.1,0.018348623853211
Supreme Court of Pennsylvania,125,7,92,118,0.0707070707070707,0.056,0.0625
Supreme Court of Puerto Rico,6,2,2078,4,0.000961538461538462,0.333333333333333,0.00191754554170662
Supreme Court of Rhode Island,11,0,94,11,0,0,0
Supreme Court of South Carolina,27,2,84,25,0.0232558139534884,0.0740740740740741,0.0353982300884956
Supreme Court of the United States,7112,533,997,6579,0.348366013071895,0.0749437570303712,0.123351076139782
Supreme Court of Vermont,64,1,105,63,0.00943396226415094,0.015625,0.0117647058823529
Supreme Court of Virginia,7,0,88,7,0,0,0
Tennessee Superior Court for Law and Equity,17,1,90,16,0.010989010989011,0.0588235294117647,0.0185185185185185
Tennessee Supreme Court,6,0,88,6,0,0,0
Texas Attorney General Reports,55,7,197,48,0.0343137254901961,0.127272727272727,0.0540540540540541
