class,support,tp,fp,fn,precision,recall,f1
Alabama Court of Appeals,356,2,207,354,0.00956937799043062,0.00561797752808989,0.00707964601769912
Alaska Supreme Court,6,0,230,6,0,0,0
Appellate Court of Illinois,4103,31,170,4072,0.154228855721393,0.00755544723373142,0.0144052044609665
Appellate Division of the Supreme Court of the State of New York,46,0,199,46,0,0,0
Arizona Supreme Court,13,0,201,13,0,0,0
Arkansas Attorney General Reports,110,0,213,110,0,0,0
Board of Veterans' Appeals,29,0,210,29,0,0,0
California Court of Appeal,56,0,190,56,0,0,0
California Supreme Court,74,0,209,74,0,0,0
Colorado Attorney General Reports,4,0,207,4,0,0,0
Colorado Court of Appeals,8,0,220,8,0,0,0
Commonwealth Court of Pennsylvania,28,0,220,28,0,0,0
Connecticut Appellate Court,6,0,215,6,0,0,0
Connecticut Superior Court,1154,6,200,1148,0.029126213592233,0.00519930675909879,0.00882352941176471
Court for the Trial of Impeachments and Correction of Errors,105,1,217,104,0.00458715596330275,0.00952380952380953,0.00619195046439629
Court of Appeals for the D.C. Circuit,9,0,199,9,0,0,0
Court of Appeals for the Eighth Circuit,41,0,199,41,0,0,0
Court of Appeals for the Eleventh Circuit,27,0,207,27,0,0,0
Court of Appeals for the Federal Circuit,56,1,185,55,0.00537634408602151,0.0178571428571429,0.00826446280991736
Court of Appeals for the Fifth Circuit,166,1,207,165,0.00480769230769231,0.00602409638554217,0.0053475935828877
Court of Appeals for the First Circuit,40,1,189,39,0.00526315789473684,0.025,0.00869565217391304
Court of Appeals for the Fourth Circuit,79,0,197,79,0,0,0
Court of Appeals for the Ninth Circuit,119,1,196,118,0.0050761421319797,0.00840336134453782,0.00632911392405063
Court of Appeals for the Second Circuit,126,2,207,124,0.00956937799043062,0.0158730158730159,0.0119402985074627
Court of Appeals for the Seventh Circuit,44,0,194,44,0,0,0
Court of Appeals for the Sixth Circuit,26,0,209,26,0,0,0
Court of Appeals for the Tenth Circuit,44,0,178,44,0,0,0
Court of Appeals for the Third Circuit,44,0,182,44,0,0,0
Court of Appeals of Arkansas,3,0,194,3,0,0,0
Court of Appeals of Georgia,38,0,188,38,0,0,0
Court of Appeals of Iowa,9,0,191,9,0,0,0
Court of Appeals of Kansas,270,2,213,268,0.00930232558139535,0.00740740740740741,0.00824742268041237
Court of Appeals of Kentucky (pre-1976),58,0,175,58,0,0,0
Court of Appeals of Maryland,359,0,198,359,0,0,0
Court of Appeals of Minnesota,9,0,170,9,0,0,0
Court of Appeals of Mississippi,28,0,180,28,0,0,0
Court of Appeals of North Carolina,1257,9,186,1248,0.0461538461538462,0.00715990453460621,0.012396694214876
Court of Appeals of Oregon,323,0,197,323,0,0,0
Court of Appeals of South Carolina,5,0,206,5,0,0,0
Court of Appeals of Texas,39,1,193,38,0.00515463917525773,0.0256410256410256,0.00858369098712446
Court of Appeals of Washington,45,0,198,45,0,0,0
Court of Appeals of Wisconsin,103,0,190,103,0,0,0
Court of Chancery of Delaware,15,1,201,14,0.00495049504950495,0.0666666666666667,0.00921658986175115
Court of Civil Appeals of Alabama,486,4,172,482,0.0227272727272727,0.00823045267489712,0.0120845921450151
Court of Claims of Illinois,394,0,199,394,0,0,0
Court of Criminal Appeals of Alabama,864,2,172,862,0.0114942528735632,0.00231481481481482,0.00385356454720617
Court of Criminal Appeals of Oklahoma,10,0,190,10,0,0,0
Court of Criminal Appeals of Texas,106,1,182,105,0.00546448087431694,0.00943396226415094,0.0069204152249135
Court of Customs and Patent Appeals,10,0,178,10,0,0,0
Court of King's Bench,36,0,171,36,0,0,0
