class,support,tp,fp,fn,precision,recall,f1
f,7940,904,2509,7036,0.264869616173454,0.113853904282116,0.15925306086497
fd,101,11,3106,90,0.00352903432787937,0.108910891089109,0.00683654443753884
fs,48,7,3123,41,0.00223642172523962,0.145833333333333,0.00440528634361234
i,36,3,2937,33,0.00102040816326531,0.0833333333333333,0.00201612903225807
s,7337,733,2178,6604,0.251803503950532,0.0999045931579665,0.143052302888368
sa,13349,1298,1603,12051,0.447431920027577,0.0972357479961046,0.159753846153846
sag,795,75,2852,720,0.0256235052955244,0.0943396226415094,0.0403009134873724
ss,680,63,2953,617,0.0208885941644562,0.0926470588235294,0.0340909090909091
st,406,43,2977,363,0.0142384105960265,0.105911330049261,0.0251021599532983
ts,6,1,3322,5,0.000300932891965092,0.166666666666667,0.000600781015319916
