class,support,tp,fp,fn,precision,recall,f1
Alabama Court of Appeals,356,38,23,318,0.622950819672131,0.106741573033708,0.182254196642686
Alaska Supreme Court,6,0,1,6,0,0,0
Appellate Court of Illinois,4103,410,95,3693,0.811881188118812,0.0999268827687058,0.177951388888889
Appellate Division of the Supreme Court of the State of New York,46,7,87,39,0.074468085106383,0.152173913043478,0.1
Arizona Supreme Court,13,0,0,13,0,0,0
Arkansas Attorney General Reports,110,9,131,101,0.0642857142857143,0.0818181818181818,0.072
Board of Veterans' Appeals,29,2,124,27,0.0158730158730159,0.0689655172413793,0.0258064516129032
California Court of Appeal,56,6,8,50,0.428571428571429,0.107142857142857,0.171428571428571
California Supreme Court,74,4,15,70,0.210526315789474,0.0540540540540541,0.0860215053763441
Colorado Attorney General Reports,4,0,5,4,0,0,0
Colorado Court of Appeals,8,0,5,8,0,0,0
Commonwealth Court of Pennsylvania,28,3,67,25,0.0428571428571429,0.107142857142857,0.0612244897959184
Connecticut Appellate Court,6,1,0,5,1,0.166666666666667,0.285714285714286
Connecticut Superior Court,1154,104,2,1050,0.981132075471698,0.0901213171577123,0.165079365079365
Court for the Trial of Impeachments and Correction of Errors,105,12,1829,93,0.00651819663226507,0.114285714285714,0.0123329907502569
Court of Appeals for the D.C. Circuit,9,0,1,9,0,0,0
Court of Appeals for the Eighth Circuit,41,0,10,41,0,0,0
Court of Appeals for the Eleventh Circuit,27,0,27,27,0,0,0
Court of Appeals for the Federal Circuit,56,2,15,54,0.117647058823529,0.0357142857142857,0.0547945205479452
Court of Appeals for the Fifth Circuit,166,19,293,147,0.0608974358974359,0.114457831325301,0.0794979079497908
Court of Appeals for the First Circuit,40,3,41,37,0.0681818181818182,0.075,0.0714285714285714
Court of Appeals for the Fourth Circuit,79,5,37,74,0.119047619047619,0.0632911392405063,0.0826446280991736
Court of Appeals for the Ninth Circuit,119,4,47,115,0.0784313725490196,0.0336134453781513,0.0470588235294118
Court of Appeals for the Second Circuit,126,16,195,110,0.0758293838862559,0.126984126984127,0.0949554896142433
Court of Appeals for the Seventh Circuit,44,1,10,43,0.0909090909090909,0.0227272727272727,0.0363636363636364
Court of Appeals for the Sixth Circuit,26,0,18,26,0,0,0
Court of Appeals for the Tenth Circuit,44,1,3,43,0.25,0.0227272727272727,0.0416666666666667
Court of Appeals for the Third Circuit,44,8,41,36,0.163265306122449,0.181818181818182,0.172043010752688
Court of Appeals of Arkansas,3,1,4,2,0.2,0.333333333333333,0.25
Court of Appeals of Georgia,38,4,37,34,0.0975609756097561,0.105263157894737,0.10126582278481
Court of Appeals of Iowa,9,0,0,9,0,0,0
Court of Appeals of Kansas,270,35,78,235,0.309734513274336,0.12962962962963,0.182767624020888
Court of Appeals of Kentucky (pre-1976),58,7,1,51,0.875,0.120689655172414,0.212121212121212
Court of Appeals of Maryland,359,33,14,326,0.702127659574468,0.0919220055710306,0.16256157635468
Court of Appeals of Minnesota,9,0,0,9,0,0,0
Court of Appeals of Mississippi,28,2,5,26,0.285714285714286,0.0714285714285714,0.114285714285714
Court of Appeals of North Carolina,1257,118,188,1139,0.38562091503268,0.0938743038981703,0.150991682661548
Court of Appeals of Oregon,323,24,3,299,0.888888888888889,0.0743034055727554,0.137142857142857
Court of Appeals of South Carolina,5,0,5,5,0,0,0
Court of Appeals of Texas,39,2,40,37,0.0476190476190476,0.0512820512820513,0.0493827160493827
Court of Appeals of Washington,45,1,12,44,0.0769230769230769,0.0222222222222222,0.0344827586206897
Court of Appeals of Wisconsin,103,10,4,93,0.714285714285714,0.0970873786407767,0.170940170940171
Court of Chancery of Delaware,15,0,3,15,0,0,0
Court of Civil Appeals of Alabama,486,43,300,443,0.12536443148688,0.088477366255144,0.103739445114596
Court of Claims of Illinois,394,44,1730,350,0.0248027057497182,0.111675126903553,0.040590405904059
Court of Criminal Appeals of Alabama,864,75,17,789,0.815217391304348,0.0868055555555556,0.156903765690377
Court of Criminal Appeals of Oklahoma,10,0,3,10,0,0,0
Court of Criminal Appeals of Texas,106,7,63,99,0.1,0.0660377358490566,0.0795454545454545
Court of Customs and Patent Appeals,10,2,1433,8,0.00139372822299652,0.2,0.0027681660899654
Court of King's Bench,36,3,2976,33,0.00100704934541793,0.0833333333333333,0.00199004975124378
District Court of Appeal of Florida,49,2,43,47,0.0444444444444444,0.0408163265306122,0.0425531914893617
"District Court, C.D. California",4,0,0,4,0,0,0
"District Court, D. Alaska",2,1,62,1,0.0158730158730159,0.5,0.0307692307692308
"District Court, D. Arizona",4,0,0,4,0,0,0
"District Court, D. Massachusetts",4,0,589,4,0,0,0
"District Court, D. New Hampshire",4,0,6,4,0,0,0
"District Court, D. New Jersey",3,0,22,3,0,0,0
"District Court, D. South Carolina",5,1,24,4,0.04,0.2,0.0666666666666667
"District Court, District of Columbia",6,0,21,6,0,0,0
"District Court, E.D. California",7,0,21,7,0,0,0
"District Court, E.D. New York",3,0,1,3,0,0,0
